service_date,line,estimated_boardings,ObjectId
2021-06-23 04:00:00.000000 UTC,Lowell,2251.0,2929
2021-06-17 04:00:00.000000 UTC,Lowell,1977.0,2943
2021-06-07 04:00:00.000000 UTC,Lowell,2211.0,2968
2021-06-01 04:00:00.000000 UTC,Lowell,1856.0,2984
2021-07-04 04:00:00.000000 UTC,Lowell,688.0,2988
2021-06-30 04:00:00.000000 UTC,Lowell,2208.0,2993
2021-07-01 04:00:00.000000 UTC,Lowell,2488.0,3005
2021-07-02 04:00:00.000000 UTC,Lowell,2306.0,3017
2021-06-24 04:00:00.000000 UTC,Lowell,2259.0,3038
2021-06-18 04:00:00.000000 UTC,Lowell,2370.0,3045
2021-06-08 04:00:00.000000 UTC,Lowell,1861.0,3066
2021-06-02 04:00:00.000000 UTC,Lowell,1866.0,3077
2021-07-05 04:00:00.000000 UTC,Lowell,789.0,3084
2021-06-25 04:00:00.000000 UTC,Lowell,2065.0,3098
2021-06-21 04:00:00.000000 UTC,Lowell,2461.0,3102
2021-06-09 04:00:00.000000 UTC,Lowell,1627.0,3122
2021-06-28 04:00:00.000000 UTC,Lowell,2603.0,3129
2021-06-03 04:00:00.000000 UTC,Lowell,1907.0,3160
2021-06-22 04:00:00.000000 UTC,Lowell,2294.0,3164
2021-07-06 04:00:00.000000 UTC,Lowell,2732.0,3167
2021-06-10 04:00:00.000000 UTC,Lowell,2258.0,3171
2021-06-04 04:00:00.000000 UTC,Lowell,1793.0,3198
2021-07-07 04:00:00.000000 UTC,Lowell,2555.0,3200
2021-07-24 04:00:00.000000 UTC,Lowell,1298.0,3204
2021-07-25 04:00:00.000000 UTC,Lowell,761.0,3216
2021-07-26 04:00:00.000000 UTC,Lowell,2447.0,3228
2021-07-27 04:00:00.000000 UTC,Lowell,2696.0,3240
2021-08-06 04:00:00.000000 UTC,Lowell,2558.0,3260
2021-08-07 04:00:00.000000 UTC,Lowell,1205.0,3272
2021-08-08 04:00:00.000000 UTC,Lowell,757.0,3284
2021-08-09 04:00:00.000000 UTC,Lowell,2488.0,3296
2021-07-20 04:00:00.000000 UTC,Lowell,2212.0,3306
2021-07-21 04:00:00.000000 UTC,Lowell,2821.0,3318
2021-07-22 04:00:00.000000 UTC,Lowell,2728.0,3330
2021-07-23 04:00:00.000000 UTC,Lowell,2925.0,3342
2021-07-16 04:00:00.000000 UTC,Lowell,2559.0,3358
2021-07-17 04:00:00.000000 UTC,Lowell,1231.0,3370
2021-07-18 04:00:00.000000 UTC,Lowell,536.0,3382
2021-07-19 04:00:00.000000 UTC,Lowell,2322.0,3394
2021-07-08 04:00:00.000000 UTC,Lowell,2912.0,3412
2021-07-09 04:00:00.000000 UTC,Lowell,2423.0,3424
2021-07-10 04:00:00.000000 UTC,Lowell,1160.0,3436
2021-07-11 04:00:00.000000 UTC,Lowell,1028.0,3448
2021-07-28 04:00:00.000000 UTC,Lowell,2610.0,3451
2021-07-29 04:00:00.000000 UTC,Lowell,2500.0,3463
2021-07-30 04:00:00.000000 UTC,Lowell,1434.0,3475
2021-07-31 04:00:00.000000 UTC,Lowell,1101.0,3487
2021-08-01 04:00:00.000000 UTC,Lowell,644.0,3499
2021-08-02 04:00:00.000000 UTC,Lowell,2602.0,3511
2021-08-03 04:00:00.000000 UTC,Lowell,2534.0,3523
2021-08-04 04:00:00.000000 UTC,Lowell,1997.0,3535
2021-08-05 04:00:00.000000 UTC,Lowell,2310.3885,3547
2021-07-12 04:00:00.000000 UTC,Lowell,2132.0,3560
2021-07-13 04:00:00.000000 UTC,Lowell,2082.0,3572
2021-07-14 04:00:00.000000 UTC,Lowell,2440.0,3584
2021-07-15 04:00:00.000000 UTC,Lowell,2518.0,3596
2021-08-14 04:00:00.000000 UTC,Lowell,1329.0,3605
2021-08-15 04:00:00.000000 UTC,Lowell,1113.0,3617
2021-08-16 04:00:00.000000 UTC,Lowell,2562.0,3629
2021-08-17 04:00:00.000000 UTC,Lowell,3484.0,3641
2021-08-22 04:00:00.000000 UTC,Lowell,780.0,3652
2021-08-27 04:00:00.000000 UTC,Lowell,3416.0,3667
2021-08-28 04:00:00.000000 UTC,Lowell,1621.0,3679
2021-08-18 04:00:00.000000 UTC,Lowell,2648.0,3697
2021-09-08 04:00:00.000000 UTC,Lowell,3826.0,3707
2021-08-29 04:00:00.000000 UTC,Lowell,1022.0,3709
2021-09-04 04:00:00.000000 UTC,Lowell,1681.0,3724
2021-08-10 04:00:00.000000 UTC,Lowell,2808.0,3734
2021-08-31 04:00:00.000000 UTC,Lowell,3115.0,3740
2021-08-23 04:00:00.000000 UTC,Lowell,3447.0,3753
2021-08-24 04:00:00.000000 UTC,Lowell,3830.0,3765
2021-08-25 04:00:00.000000 UTC,Lowell,3384.0,3777
2021-08-26 04:00:00.000000 UTC,Lowell,3893.0,3789
2021-08-11 04:00:00.000000 UTC,Lowell,2628.0,3800
2021-08-12 04:00:00.000000 UTC,Lowell,2368.0,3812
2021-09-09 04:00:00.000000 UTC,Lowell,3702.0,3819
2021-08-19 04:00:00.000000 UTC,Lowell,3066.0,3850
2021-08-13 04:00:00.000000 UTC,Lowell,2421.0,3860
2021-09-10 04:00:00.000000 UTC,Lowell,3455.0,3875
2021-09-01 04:00:00.000000 UTC,Lowell,2990.0,3876
2021-09-11 04:00:00.000000 UTC,Lowell,1628.0,3899
2021-09-02 04:00:00.000000 UTC,Lowell,3270.0,3900
2021-08-30 04:00:00.000000 UTC,Lowell,3019.0,3914
2021-09-05 04:00:00.000000 UTC,Lowell,835.0,3923
2021-09-03 04:00:00.000000 UTC,Lowell,3231.0,3941
2021-08-20 04:00:00.000000 UTC,Lowell,2739.0,3952
2021-09-06 04:00:00.000000 UTC,Lowell,979.0,3961
2021-09-07 04:00:00.000000 UTC,Lowell,3554.0,3973
2021-08-21 04:00:00.000000 UTC,Lowell,1239.0,3989
2021-09-25 04:00:00.000000 UTC,Lowell,1369.0,4009
2021-09-26 04:00:00.000000 UTC,Lowell,1460.0,4021
2021-09-27 04:00:00.000000 UTC,Lowell,4320.0,4033
2021-09-28 04:00:00.000000 UTC,Lowell,3943.0,4045
2021-09-12 04:00:00.000000 UTC,Lowell,1238.0,4053
2021-09-13 04:00:00.000000 UTC,Lowell,4183.0,4065
2021-09-14 04:00:00.000000 UTC,Lowell,3808.0,4077
2021-09-15 04:00:00.000000 UTC,Lowell,3501.0,4089
2021-10-11 04:00:00.000000 UTC,Lowell,4362.0,4103
2021-10-12 04:00:00.000000 UTC,Lowell,4991.0,4115
2021-10-13 04:00:00.000000 UTC,Lowell,7115.0,4127
2021-09-16 04:00:00.000000 UTC,Lowell,3692.0,4134
2021-10-14 04:00:00.000000 UTC,Lowell,4687.0,4141
2021-10-07 04:00:00.000000 UTC,Lowell,5238.0,4150
2021-10-03 04:00:00.000000 UTC,Lowell,1312.0,4170
2021-09-29 04:00:00.000000 UTC,Lowell,4734.0,4178
2021-10-04 04:00:00.000000 UTC,Lowell,5403.0,4192
2021-10-05 04:00:00.000000 UTC,Lowell,5323.0,4204
2021-10-06 04:00:00.000000 UTC,Lowell,5534.0,4216
2021-09-17 04:00:00.000000 UTC,Lowell,3917.0,4248
